Designator,Mid X,Mid Y,Layer,Rotation
U101, 5.00,75.00,Top,180.0
U102,15.00,75.00,Top,180.0
U103,25.00,75.00,Top,180.0
U104,35.00,75.00,Top,180.0
U105,45.00,75.00,Top,180.0
U106,55.00,75.00,Top,180.0
U107,65.00,75.00,Top,180.0
U108,75.00,75.00,Top,180.0
U109, 5.00,65.00,Top,180.0
U110,15.00,65.00,Top,180.0
U111,25.00,65.00,Top,180.0
U112,35.00,65.00,Top,180.0
U113,45.00,65.00,Top,180.0
U114,55.00,65.00,Top,180.0
U115,65.00,65.00,Top,180.0
U116,75.00,65.00,Top,180.0
U117, 5.00,55.00,Top,180.0
U118,15.00,55.00,Top,180.0
U119,25.00,55.00,Top,180.0
U120,35.00,55.00,Top,180.0
U121,45.00,55.00,Top,180.0
U122,55.00,55.00,Top,180.0
U123,65.00,55.00,Top,180.0
U124,75.00,55.00,Top,180.0
U125, 5.00,45.00,Top,180.0
U126,15.00,45.00,Top,180.0
U127,25.00,45.00,Top,180.0
U128,35.00,45.00,Top,180.0
U129,45.00,45.00,Top,180.0
U130,55.00,45.00,Top,180.0
U131,65.00,45.00,Top,180.0
U132,75.00,45.00,Top,180.0
U133, 5.00,35.00,Top,180.0
U134,15.00,35.00,Top,180.0
U135,25.00,35.00,Top,180.0
U136,35.00,35.00,Top,180.0
U137,45.00,35.00,Top,180.0
U138,55.00,35.00,Top,180.0
U139,65.00,35.00,Top,180.0
U140,75.00,35.00,Top,180.0
U141, 5.00,25.00,Top,180.0
U142,15.00,25.00,Top,180.0
U143,25.00,25.00,Top,180.0
U144,35.00,25.00,Top,180.0
U145,45.00,25.00,Top,180.0
U146,55.00,25.00,Top,180.0
U147,65.00,25.00,Top,180.0
U148,75.00,25.00,Top,180.0
U149, 5.00,15.00,Top,180.0
U150,15.00,15.00,Top,180.0
U151,25.00,15.00,Top,180.0
U152,35.00,15.00,Top,180.0
U153,45.00,15.00,Top,180.0
U154,55.00,15.00,Top,180.0
U155,65.00,15.00,Top,180.0
U156,75.00,15.00,Top,180.0
U157, 5.00, 5.00,Top,180.0
U158,15.00, 5.00,Top,180.0
U159,25.00, 5.00,Top,180.0
U160,35.00, 5.00,Top,180.0
U161,45.00, 5.00,Top,180.0
U162,55.00, 5.00,Top,180.0
U163,65.00, 5.00,Top,180.0
U164,75.00, 5.00,Top,180.0
